food_name,energy,protein,fat,carbohydrate
こめ　［水稲穀粒］　はいが精米,1460.0,6.5,2.0,75.8
こめ　［水稲穀粒］　発芽玄米,1440.0,6.5,3.3,74.3
こめ　［水稲穀粒］　赤米,1460.0,8.5,3.3,71.9
こめ　［水稲穀粒］　黒米,1447.0,7.8,3.2,72.0
こめ　［水稲めし］　玄米,647.0,2.8,1.0,35.6
こめ　［水稲めし］　半つき米,654.0,2.7,0.6,36.4
こめ　［水稲めし］　七分つき米,681.0,2.6,0.5,36.7
こめ　［水稲めし］　精白米　インディカ米,781.0,3.8,0.4,41.5
こめ　［水稲めし］　精白米　うるち米,663.0,2.5,0.3,37.1
こめ　［水稲めし］　精白米　もち米,801.0,3.5,0.5,43.9
こめ　［水稲めし］　はいが精米,679.0,2.7,0.6,36.4
こめ　［水稲めし］　発芽玄米,680.0,3.0,1.4,35.0
こめ　［水稲めし］　赤米,636.0,3.8,1.3,32.7
こめ　［水稲めし］　黒米,634.0,3.6,1.4,32.2
こめ　［水稲軟めし］　精白米,482.0,,,
こめ　［水稲全かゆ］　玄米,274.0,,,
こめ　［水稲全かゆ］　半つき米,278.0,,,
こめ　［水稲全かゆ］　七分つき米,289.0,,,
こめ　［水稲全かゆ］　精白米,278.0,,,
こめ　［水稲五分かゆ］　玄米,137.0,,,
こめ　［水稲五分かゆ］　半つき米,138.0,,,
こめ　［水稲五分かゆ］　七分つき米,138.0,,,
こめ　［水稲五分かゆ］　精白米,141.0,,,
こめ　［水稲おもゆ］　玄米,81.0,,,
こめ　［水稲おもゆ］　半つき米,82.0,,,
こめ　［水稲おもゆ］　七分つき米,87.0,,,
こめ　［水稲おもゆ］　精白米,80.0,,0.0,
こめ　［陸稲穀粒］　玄米,1517.0,10.1,2.7,71.1
こめ　［陸稲穀粒］　半つき米,1514.0,9.6,1.8,72.9
こめ　［陸稲穀粒］　七分つき米,1528.0,9.5,1.5,73.4
こめ　［陸稲穀粒］　精白米,1409.0,9.3,0.9,74.5
こめ　［陸稲めし］　玄米,665.0,4.1,1.0,34.3
こめ　［陸稲めし］　半つき米,669.0,3.8,0.6,35.3
こめ　［陸稲めし］　七分つき米,660.0,3.6,0.5,35.7
こめ　［陸稲めし］　精白米,670.0,3.5,0.3,36.1
こめ　［うるち米製品］　アルファ化米　一般用,1527.0,6.0,1.0,84.8
こめ　［うるち米製品］　アルファ化米　学校給食用強化品,1527.0,6.0,1.0,84.8
こめ　［うるち米製品］　水稲全かゆ　レトルト　玄米,190.0,0.9,0.4,10.6
こめ　［うるち米製品］　水稲全かゆ　レトルト　精白米,157.0,0.6,0.1,8.6
こめ　［うるち米製品］　おにぎり,723.0,2.7,0.3,39.4
こめ　［うるち米製品］　焼きおにぎり,709.0,3.1,0.3,39.5
こめ　［うるち米製品］　きりたんぽ,850.0,3.2,0.4,46.2
こめ　［うるち米製品］　上新粉,1464.0,6.2,0.9,78.5
こめ　［うるち米製品］　玄米粉,1572.0,7.1,2.9,84.1
こめ　［うるち米製品］　米粉,1512.0,6.0,0.7,81.9
こめ　［うるち米製品］　米粉パン　食パン,1043.0,,,
こめ　［うるち米製品］　米粉パン　ロールパン,1081.0,,,
こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,1048.0,3.4,3.1,51.3
こめ　［うるち米製品］　米粉めん,1069.0,3.6,0.7,58.4
こめ　［うるち米製品］　ビーフン,1526.0,7.0,1.6,79.9
こめ　［うるち米製品］　ライスペーパー,1442.0,0.5,0.3,84.3
こめ　［うるち米製品］　米こうじ,1106.0,5.8,1.7,59.2
こめ　［もち米製品］　もち,947.0,4.0,0.6,50.8
こめ　［もち米製品］　赤飯,790.0,4.3,0.6,41.9
こめ　［もち米製品］　あくまき,555.0,2.3,1.8,25.7
こめ　［もち米製品］　白玉粉,1477.0,6.3,1.0,80.0
こめ　［もち米製品］　道明寺粉,1489.0,7.1,0.7,80.4
こめ　［その他］　米ぬか,1556.0,13.4,19.6,48.8
そば　そば粉　全層粉,1438.0,12.0,3.1,69.6
そば　そば粉　内層粉,1455.0,6.0,1.6,77.6
そば　そば粉　中層粉,1417.0,10.2,2.7,71.6
そば　そば粉　表層粉,1425.0,15.0,3.6,65.1
そば　そば米,1471.0,9.6,2.5,73.7
そば　そば　生,1149.0,9.8,1.9,54.5
そば　そば　ゆで,552.0,4.8,1.0,26.0
そば　そば　半生そば,1378.0,,,
そば　干しそば　乾,1463.0,14.0,2.3,66.7
そば　干しそば　ゆで,479.0,4.8,0.7,22.1
とうもろこし　玄穀　黄色種,1441.0,8.6,5.0,70.6
とうもろこし　玄穀　白色種,1441.0,8.6,5.0,70.6
とうもろこし　コーンミール　黄色種,1591.0,8.3,4.0,72.4
とうもろこし　コーンミール　白色種,1591.0,8.3,4.0,72.4
とうもろこし　コーングリッツ　黄色種,1498.0,8.2,1.0,76.4
とうもろこし　コーングリッツ　白色種,1498.0,8.2,1.0,76.4
とうもろこし　コーンフラワー　黄色種,1478.0,6.6,2.8,76.1
とうもろこし　コーンフラワー　白色種,1478.0,6.6,2.8,76.1
とうもろこし　ジャイアントコーン　フライ　味付け,1718.0,5.7,11.8,76.6
とうもろこし　ポップコーン,1979.0,10.2,22.8,59.6
とうもろこし　コーンフレーク,1618.0,7.8,1.7,83.6
はとむぎ　精白粒,1496.0,13.3,1.3,72.2
ひえ　精白粒,1534.0,9.4,3.3,73.2
もろこし　玄穀,1454.0,10.3,4.7,71.1
もろこし　精白粒,1473.0,9.5,2.6,74.1
ライむぎ　全粒粉,1342.0,12.7,2.7,70.7
ライむぎ　ライ麦粉,1368.0,8.5,1.6,75.8
＜いも類＞　アメリカほどいも　塊根　生,616.0,5.9,0.6,35.6
＜いも類＞　アメリカほどいも　塊根　ゆで,609.0,6.0,0.8,34.5
＜いも類＞　きくいも　塊茎　生,278.0,1.9,0.4,14.7
＜いも類＞　きくいも　塊茎　水煮,215.0,1.6,0.5,11.3
＜いも類＞　こんにゃく　精粉,786.0,3.0,0.1,85.3
＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,21.0,0.1,,2.3
＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,35.0,0.1,0.1,3.3
＜いも類＞　こんにゃく　赤こんにゃく,24.0,0.1,,2.5
＜いも類＞　こんにゃく　凍みこんにゃく　乾,777.0,3.3,1.4,77.1
＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,169.0,0.7,0.3,16.8
＜いも類＞　こんにゃく　しらたき,28.0,0.2,,3.0
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,539.0,0.9,0.5,33.1
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,548.0,0.9,0.2,33.7
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,866.0,1.4,6.8,38.4
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,536.0,1.2,0.2,31.9
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,559.0,1.2,0.2,31.9
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,642.0,1.4,0.2,39.0
＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,1179.0,3.1,0.6,71.9
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,522.0,1.2,0.3,31.7
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,519.0,1.2,0.3,31.4
＜いも類＞　（さといも類）　さといも　球茎　生,227.0,1.5,0.1,13.1
＜いも類＞　（さといも類）　さといも　球茎　水煮,221.0,1.5,0.1,13.4
＜いも類＞　（さといも類）　さといも　球茎　冷凍,233.0,2.2,0.1,16.0
＜いも類＞　（さといも類）　セレベス　球茎　生,338.0,2.2,0.3,19.8
＜いも類＞　（さといも類）　セレベス　球茎　水煮,326.0,2.1,0.3,19.1
＜いも類＞　（さといも類）　たけのこいも　球茎　生,411.0,1.7,0.4,23.5
＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,363.0,1.6,0.4,21.8
＜いも類＞　（さといも類）　みずいも　球茎　生,470.0,0.7,0.4,27.6
＜いも類＞　（さといも類）　みずいも　球茎　水煮,428.0,0.7,0.4,26.1
＜いも類＞　（さといも類）　やつがしら　球茎　生,398.0,3.0,0.7,20.5
＜いも類＞　（さといも類）　やつがしら　球茎　水煮,392.0,2.7,0.6,20.0
＜いも類＞　じゃがいも　塊茎　皮つき　生,213.0,1.8,0.1,15.9
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,331.0,2.1,0.2,19.2
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,641.0,2.7,5.6,25.4
＜いも類＞　じゃがいも　塊茎　皮なし　生,245.0,1.8,0.1,17.3
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,301.0,1.7,0.1,16.9
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,322.0,1.9,0.3,18.1
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,329.0,1.9,0.1,19.0
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,668.0,2.7,5.9,26.2
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,958.0,2.9,10.6,32.4
＜いも類＞　じゃがいも　乾燥マッシュポテト,1470.0,6.6,0.6,82.8
＜いも類＞　ヤーコン　塊根　生,221.0,0.6,0.3,12.4
＜いも類＞　ヤーコン　塊根　水煮,177.0,0.6,0.3,9.9
＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,458.0,4.5,0.5,22.6
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,273.0,2.2,0.3,13.9
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,247.0,2.0,0.3,12.6
＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,504.0,4.5,0.2,27.1
＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,498.0,2.8,0.7,26.7
＜いも類＞　（やまのいも類）　だいじょ　塊根　生,434.0,2.6,0.1,25.0
